        ks(1/s)        ksr(1/s)       ksnr(1/s)       kisc(1/s)         kt(1/s)        ktr(1/s)       ktnr(1/s)      krisc(1/s)       phi_sr(%)      phi_snr(%)      phi_isc(%)       phi_tr(%)      phi_tnr(%)     phi_risc(%)
    4.97279e+07     2.96632e+07     2.28560e+06     1.77791e+07     7.98439e+05     0.00000e+00     4.53715e+04     7.53067e+05        59.65096         4.59622        35.75281         0.00000         5.68253        94.31747
    4.97279e+07     2.96632e+07     2.26904e+06     1.77957e+07     7.98439e+05     0.00000e+00     4.60724e+04     7.52366e+05        59.65096         4.56292        35.78612         0.00000         5.77031        94.22969
    4.97279e+07     2.96632e+07     2.25248e+06     1.78122e+07     7.98439e+05     0.00000e+00     4.67719e+04     7.51667e+05        59.65096         4.52961        35.81943         0.00000         5.85792        94.14208
    4.97279e+07     2.96632e+07     2.23592e+06     1.78288e+07     7.98439e+05     0.00000e+00     4.74702e+04     7.50968e+05        59.65096         4.49630        35.85273         0.00000         5.94538        94.05462
    4.97279e+07     2.96632e+07     2.21935e+06     1.78454e+07     7.98439e+05     0.00000e+00     4.81672e+04     7.50271e+05        59.65096         4.46300        35.88604         0.00000         6.03267        93.96733
    4.97279e+07     2.96632e+07     2.20279e+06     1.78619e+07     7.98439e+05     0.00000e+00     4.88629e+04     7.49576e+05        59.65096         4.42969        35.91934         0.00000         6.11980        93.88020
    4.97279e+07     2.96632e+07     2.18623e+06     1.78785e+07     7.98439e+05     0.00000e+00     4.95573e+04     7.48881e+05        59.65096         4.39639        35.95265         0.00000         6.20677        93.79323
    4.97279e+07     2.96632e+07     2.16967e+06     1.78951e+07     7.98439e+05     0.00000e+00     5.02504e+04     7.48188e+05        59.65096         4.36308        35.98596         0.00000         6.29358        93.70642
    4.97279e+07     2.96632e+07     2.15310e+06     1.79116e+07     7.98439e+05     0.00000e+00     5.09422e+04     7.47496e+05        59.65096         4.32977        36.01926         0.00000         6.38023        93.61977
    4.97279e+07     2.96632e+07     2.13654e+06     1.79282e+07     7.98439e+05     0.00000e+00     5.16327e+04     7.46806e+05        59.65096         4.29647        36.05257         0.00000         6.46671        93.53329
    4.97279e+07     2.96632e+07     2.11998e+06     1.79447e+07     7.98439e+05     0.00000e+00     5.23220e+04     7.46117e+05        59.65096         4.26316        36.08587         0.00000         6.55304        93.44696
    4.97279e+07     2.96632e+07     2.10342e+06     1.79613e+07     7.98439e+05     0.00000e+00     5.30100e+04     7.45429e+05        59.65096         4.22986        36.11918         0.00000         6.63921        93.36079
    4.97279e+07     2.96632e+07     2.08686e+06     1.79779e+07     7.98439e+05     0.00000e+00     5.36968e+04     7.44742e+05        59.65096         4.19655        36.15249         0.00000         6.72522        93.27478
    4.97279e+07     2.96632e+07     2.07029e+06     1.79944e+07     7.98439e+05     0.00000e+00     5.43822e+04     7.44056e+05        59.65096         4.16324        36.18579         0.00000         6.81107        93.18893
    4.97279e+07     2.96632e+07     2.05373e+06     1.80110e+07     7.98439e+05     0.00000e+00     5.50664e+04     7.43372e+05        59.65096         4.12994        36.21910         0.00000         6.89677        93.10323
    4.97279e+07     2.96632e+07     2.03717e+06     1.80276e+07     7.98439e+05     0.00000e+00     5.57494e+04     7.42689e+05        59.65096         4.09663        36.25240         0.00000         6.98230        93.01770
    4.97279e+07     2.96632e+07     2.02061e+06     1.80441e+07     7.98439e+05     0.00000e+00     5.64311e+04     7.42008e+05        59.65096         4.06333        36.28571         0.00000         7.06768        92.93232
    4.97279e+07     2.96632e+07     2.00404e+06     1.80607e+07     7.98439e+05     0.00000e+00     5.71115e+04     7.41327e+05        59.65096         4.03002        36.31902         0.00000         7.15290        92.84710
