        ks(1/s)        ksr(1/s)       ksnr(1/s)       kisc(1/s)         kt(1/s)        ktr(1/s)       ktnr(1/s)      krisc(1/s)       phi_sr(%)      phi_snr(%)      phi_isc(%)       phi_tr(%)      phi_tnr(%)     phi_risc(%)
    6.66079e+07     4.67080e+07     7.31620e+06     1.25837e+07     4.03583e+05     0.00000e+00     9.41885e+04     3.09395e+05        70.12387        10.98398        18.89215         0.00000        23.33807        76.66193
    6.66079e+07     4.67080e+07     7.26468e+06     1.26352e+07     4.03583e+05     0.00000e+00     9.54501e+04     3.08133e+05        70.12387        10.90663        18.96950         0.00000        23.65068        76.34932
    6.66079e+07     4.67080e+07     7.21316e+06     1.26867e+07     4.03583e+05     0.00000e+00     9.67015e+04     3.06882e+05        70.12387        10.82928        19.04685         0.00000        23.96074        76.03926
    6.66079e+07     4.67080e+07     7.16163e+06     1.27382e+07     4.03583e+05     0.00000e+00     9.79427e+04     3.05640e+05        70.12387        10.75193        19.12420         0.00000        24.26830        75.73170
    6.66079e+07     4.67080e+07     7.11011e+06     1.27898e+07     4.03583e+05     0.00000e+00     9.91740e+04     3.04409e+05        70.12387        10.67457        19.20155         0.00000        24.57338        75.42662
    6.66079e+07     4.67080e+07     7.05859e+06     1.28413e+07     4.03583e+05     0.00000e+00     1.00395e+05     3.03188e+05        70.12387        10.59722        19.27891         0.00000        24.87601        75.12399
    6.66079e+07     4.67080e+07     7.00707e+06     1.28928e+07     4.03583e+05     0.00000e+00     1.01607e+05     3.01976e+05        70.12387        10.51987        19.35626         0.00000        25.17622        74.82378
    6.66079e+07     4.67080e+07     6.95554e+06     1.29443e+07     4.03583e+05     0.00000e+00     1.02809e+05     3.00774e+05        70.12387        10.44252        19.43361         0.00000        25.47405        74.52595
    6.66079e+07     4.67080e+07     6.90402e+06     1.29958e+07     4.03583e+05     0.00000e+00     1.04001e+05     2.99582e+05        70.12387        10.36517        19.51096         0.00000        25.76951        74.23049
    6.66079e+07     4.67080e+07     6.85250e+06     1.30474e+07     4.03583e+05     0.00000e+00     1.05184e+05     2.98399e+05        70.12387        10.28781        19.58831         0.00000        26.06264        73.93736
    6.66079e+07     4.67080e+07     6.80098e+06     1.30989e+07     4.03583e+05     0.00000e+00     1.06358e+05     2.97225e+05        70.12387        10.21046        19.66567         0.00000        26.35346        73.64654
    6.66079e+07     4.67080e+07     6.74945e+06     1.31504e+07     4.03583e+05     0.00000e+00     1.07523e+05     2.96060e+05        70.12387        10.13311        19.74302         0.00000        26.64200        73.35800
    6.66079e+07     4.67080e+07     6.69793e+06     1.32019e+07     4.03583e+05     0.00000e+00     1.08678e+05     2.94905e+05        70.12387        10.05576        19.82037         0.00000        26.92829        73.07171
    6.66079e+07     4.67080e+07     6.64641e+06     1.32535e+07     4.03583e+05     0.00000e+00     1.09824e+05     2.93759e+05        70.12387         9.97841        19.89772         0.00000        27.21235        72.78765
    6.66079e+07     4.67080e+07     6.59489e+06     1.33050e+07     4.03583e+05     0.00000e+00     1.10962e+05     2.92621e+05        70.12387         9.90105        19.97507         0.00000        27.49422        72.50578
    6.66079e+07     4.67080e+07     6.54336e+06     1.33565e+07     4.03583e+05     0.00000e+00     1.12091e+05     2.91492e+05        70.12387         9.82370        20.05243         0.00000        27.77391        72.22609
    6.66079e+07     4.67080e+07     6.49184e+06     1.34080e+07     4.03583e+05     0.00000e+00     1.13211e+05     2.90372e+05        70.12387         9.74635        20.12978         0.00000        28.05145        71.94855
    6.66079e+07     4.67080e+07     6.44032e+06     1.34595e+07     4.03583e+05     0.00000e+00     1.14322e+05     2.89261e+05        70.12387         9.66900        20.20713         0.00000        28.32687        71.67313
    6.66079e+07     4.67080e+07     6.38880e+06     1.35111e+07     4.03583e+05     0.00000e+00     1.15425e+05     2.88158e+05        70.12387         9.59165        20.28448         0.00000        28.60018        71.39982
